run,operation,started,time,status,label,blocker,data_location,dataset,gpu,model,postprune_epochs,preprune_epochs,pruner,save_path,sparsity,step,Accuracy/postprune,Loss/postprune,Sparsity,alignment_score,best_post_acc,best_post_loss,best_pre_acc,best_pre_loss,immediate_post_acc,immediate_post_loss,Accuracy/preprune,Loss/preprune
21c3b2dd,main.py,2022-07-04 23:07:19,3:52:10,completed,resnet56_cifar10,none,~/torch_subspace/data/,cifar10,cuda,resnet56,160,160,magnitude,/home/yliu/torch_subspace/checkpoint/resnet56_cifar10_epoch_160,0.89,160,0.8676000237464905,0.5082765221595764,0.8324999809265137,39.54072189331055,0.8722000122070312,0.4267466962337494,0.9320999979972839,0.3256951868534088,0.10000000149011612,4.787106513977051,,
878d849d,main.py,2022-07-04 23:05:13,3:50:06,completed,resnet56_cifar10,none,~/torch_subspace/data/,cifar10,cuda,resnet56,160,160,magnitude,/home/yliu/torch_subspace/checkpoint/resnet56_cifar10_epoch_160,0.93,160,0.8220000267028809,0.5537843704223633,0.890999972820282,42.77412033081055,0.823199987411499,0.547046959400177,0.9320999979972839,0.3256951868534088,0.10000000149011612,5.492398738861084,,
775dc0a0,main.py,2022-07-04 22:58:33,3:50:49,completed,resnet56_cifar10,none,~/torch_subspace/data/,cifar10,cuda,resnet56,160,160,magnitude,/home/yliu/torch_subspace/checkpoint/resnet56_cifar10_epoch_160,0.96,160,0.694100022315979,0.8675804734230042,0.9365000128746033,60.80025100708008,0.6974999904632568,0.8675804734230042,0.9320999979972839,0.3256951868534088,0.10000000149011612,9.366463661193848,,
3259002d,main.py,2022-07-04 22:58:13,2:49:07,completed,resnet56_cifar10,none,~/torch_subspace/data/,cifar10,cuda,resnet56,160,160,magnitude,/home/yliu/torch_subspace/checkpoint/resnet56_cifar10_epoch_160,0.98,160,0.48820000886917114,1.38826584815979,0.9682000279426575,43.56412887573242,0.4959999918937683,1.3806201219558716,0.9320999979972839,0.3256951868534088,0.10000000149011612,4.8046040534973145,,
30aba02c,main.py,2022-07-04 22:58:02,2:49:03,completed,resnet56_cifar10,none,~/torch_subspace/data/,cifar10,cuda,resnet56,160,160,magnitude,/home/yliu/torch_subspace/checkpoint/resnet56_cifar10_epoch_160,0.99,160,0.10000000149011612,2.302586317062378,0.986299991607666,41.05093765258789,0.10000000149011612,2.3025686740875244,0.9320999979972839,0.3256951868534088,0.10000000149011612,4.553076267242432,,
5e5b0ff9,main.py,2022-07-04 22:56:33,3:54:37,completed,resnet56_cifar10,none,~/torch_subspace/data/,cifar10,cuda,resnet56,160,160,relative_error,/home/yliu/torch_subspace/checkpoint/resnet56_cifar10_epoch_160,0.89,160,0.8715000152587891,0.5016414523124695,0.8682000041007996,39.1745719909668,0.8730999827384949,0.43099701404571533,0.9320999979972839,0.3256951868534088,0.10000000149011612,4.003852367401123,,
27622094,main.py,2022-07-04 22:55:14,2:49:17,completed,resnet56_cifar10,none,~/torch_subspace/data/,cifar10,cuda,resnet56,160,160,relative_error,/home/yliu/torch_subspace/checkpoint/resnet56_cifar10_epoch_160,0.93,160,0.8052999973297119,0.6126270890235901,0.9200000166893005,37.18022537231445,0.8073999881744385,0.607348620891571,0.9320999979972839,0.3256951868534088,0.10000000149011612,2.9060239791870117,,
c6d3dbad,main.py,2022-07-04 22:52:53,2:50:17,completed,resnet56_cifar10,none,~/torch_subspace/data/,cifar10,cuda,resnet56,160,160,relative_error,/home/yliu/torch_subspace/checkpoint/resnet56_cifar10_epoch_160,0.96,160,0.45579999685287476,1.4979832172393799,0.9584000110626221,48.394195556640625,0.45840001106262207,1.4835317134857178,0.9320999979972839,0.3256951868534088,0.10000000149011612,5.682994842529297,,
d5cbb584,main.py,2022-07-04 22:52:52,2:48:17,completed,resnet56_cifar10,none,~/torch_subspace/data/,cifar10,cuda,resnet56,160,160,relative_error,/home/yliu/torch_subspace/checkpoint/resnet56_cifar10_epoch_160,0.98,160,0.3260999917984009,1.662771463394165,0.975600004196167,59.70709228515625,0.3456999957561493,1.6369776725769043,0.9320999979972839,0.3256951868534088,0.10000000149011612,7.566720485687256,,
b4b0327f,main.py,2022-07-04 22:51:28,2:50:00,completed,resnet56_cifar10,none,~/torch_subspace/data/,cifar10,cuda,resnet56,160,160,relative_error,/home/yliu/torch_subspace/checkpoint/resnet56_cifar10_epoch_160,0.99,160,0.34549999237060547,1.6627882719039917,0.975600004196167,59.158851623535156,0.3529999852180481,1.640149712562561,0.9320999979972839,0.3256951868534088,0.10000000149011612,7.566720485687256,,
