run,operation,started,time,status,label,blocker,dataset,gpu,model,postprune_epochs,preprune_epochs,pruner,sparsity,step,Accuracy/postprune,Accuracy/preprune,Loss/postprune,Loss/preprune,Sparsity,best_post_acc,best_post_loss,best_pre_acc,best_pre_loss,immediate_post_acc,immediate_post_loss
e8b2cafa,main.py,2022-05-23 20:26:03,1:57:27,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,magnitude,0.895,160,0.10000000149011612,0.9326000213623047,2.3025848865509033,0.328595370054245,0.940500020980835,0.10000000149011612,2.3025050163269043,0.932699978351593,0.31139910221099854,0.10000000149011612,2.321681499481201
41534571,main.py,2022-05-23 20:23:07,1:44:20,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,magnitude,0.965,160,0.10000000149011612,0.9322999715805054,2.302581310272217,0.32868558168411255,0.9828000068664551,0.10000000149011612,2.302532434463501,0.9329000115394592,0.31666380167007446,0.10000000149011612,2.343989610671997
c8ce4c2f,main.py,2022-05-23 20:22:39,1:44:39,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,magnitude,0.985,160,0.10000000149011612,0.9320999979972839,2.3025872707366943,0.3442402184009552,0.9945999979972839,0.10000000149011612,2.302478551864624,0.932200014591217,0.3087694048881531,0.10000000149011612,2.3231241703033447
b52b33c3,main.py,2022-05-23 20:22:32,1:45:37,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,magnitude,0.988,160,0.10000000149011612,0.9319000244140625,2.3025829792022705,0.32765963673591614,0.9958999752998352,0.10000000149011612,2.302502393722534,0.9347000122070312,0.31428730487823486,0.10000000149011612,2.323331117630005
7055c20c,main.py,2022-05-23 20:19:51,2:04:40,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,relative_error,0.895,160,0.9307000041007996,0.9297999739646912,0.34213629364967346,0.32870906591415405,0.914900004863739,0.9319000244140625,0.31596994400024414,0.9316999912261963,0.3121236264705658,0.4706999957561493,1.748132348060608
44dd1648,main.py,2022-05-23 20:19:00,1:59:22,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,relative_error,0.935,160,0.9160000085830688,0.9302999973297119,0.41578713059425354,0.3373580873012543,0.9473999738693237,0.9182999730110168,0.3231808543205261,0.9308000206947327,0.3089699149131775,0.10000000149011612,2.568908452987671
e65fe815,main.py,2022-05-23 20:18:51,2:04:47,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,relative_error,0.965,160,0.8751999735832214,0.9302999973297119,0.4419964551925659,0.33383792638778687,0.9733999967575073,0.8769000172615051,0.4065699577331543,0.9314000010490417,0.31914862990379333,0.10000000149011612,2.3596861362457275
7bf52231,main.py,2022-05-23 20:18:27,2:03:56,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,relative_error,0.985,160,0.6395000219345093,0.9279999732971191,1.0085805654525757,0.333851158618927,0.9883999824523926,0.647599995136261,0.9974675178527832,0.9304999709129333,0.3184558153152466,0.10000000149011612,2.329827070236206
ce5b62e8,main.py,2022-05-23 20:17:18,2:06:37,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,relative_error,0.988,160,0.6057000160217285,0.9316999912261963,1.0767171382904053,0.3363923132419586,0.9909999966621399,0.6118999719619751,1.0695908069610596,0.932200014591217,0.3089379072189331,0.10000000149011612,2.3230044841766357
885b2efd,main.py,2022-05-23 20:17:15,2:06:14,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,alignment_output,0.895,160,0.9246000051498413,0.9325000047683716,0.3764525353908539,0.32279881834983826,0.9146999716758728,0.9266999959945679,0.3111726939678192,0.933899998664856,0.3140406608581543,0.3070000112056732,2.8697259426116943
0a48f54c,main.py,2022-05-23 20:16:31,2:06:31,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,alignment_output,0.935,160,0.9172000288963318,0.9305999875068665,0.39237111806869507,0.3385058343410492,0.946399986743927,0.9172000288963318,0.31619998812675476,0.9315000176429749,0.32342538237571716,0.10000000149011612,3.341865062713623
39a29469,main.py,2022-05-23 20:16:01,2:05:13,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,alignment_output,0.965,160,0.8568999767303467,0.9304999709129333,0.45306161046028137,0.3504315912723541,0.9699000120162964,0.8632000088691711,0.44385120272636414,0.9304999709129333,0.3218422830104828,0.10000000149011612,2.8707423210144043
b73ae00b,main.py,2022-05-23 18:23:22,2:06:51,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,alignment_output,0.985,160,0.6801000237464905,0.9327999949455261,0.9058509469032288,0.31827157735824585,0.9890000224113464,0.6851999759674072,0.8861591219902039,0.9333999752998352,0.31366342306137085,0.10000000149011612,2.424865245819092
f3f17744,main.py,2022-05-23 18:23:03,2:06:41,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,alignment_output,0.988,160,0.6581000089645386,0.9318000078201294,0.9594234824180603,0.33098068833351135,0.9919999837875366,0.6680999994277954,0.9325788617134094,0.9336000084877014,0.3169190287590027,0.10000000149011612,2.361154317855835
2a09ceb3,main.py,2022-05-23 18:20:16,2:05:45,completed,vgg16_cifar10,alds,cifar10,cuda,vgg16,160,160,magnitude,0.895,160,0.10000000149011612,0.9340000152587891,2.3025875091552734,0.3138520121574402,0.9139999747276306,0.10000000149011612,2.3025314807891846,0.9344000220298767,0.2908216118812561,0.10000000149011612,2.326913833618164
88832d59,main.py,2022-05-23 18:19:53,2:10:20,completed,vgg16_cifar10,alds,cifar10,cuda,vgg16,160,160,magnitude,0.935,160,0.10000000149011612,0.9340000152587891,2.3025827407836914,0.33831968903541565,0.9506000280380249,0.10000000149011612,2.3025383949279785,0.9340000152587891,0.3132249712944031,0.10000000149011612,2.32063627243042
6470d797,main.py,2022-05-23 18:19:13,2:06:38,completed,vgg16_cifar10,alds,cifar10,cuda,vgg16,160,160,magnitude,0.965,160,0.10000000149011612,0.9322999715805054,2.3025827407836914,0.3313169777393341,0.9764999747276306,0.10000000149011612,2.302515745162964,0.9332000017166138,0.30657273530960083,0.10000000149011612,2.324490547180176
fd0d34d5,main.py,2022-05-23 18:15:03,2:07:35,completed,vgg16_cifar10,alds,cifar10,cuda,vgg16,160,160,magnitude,0.985,160,0.10000000149011612,0.9322999715805054,2.3025872707366943,0.3259841203689575,0.9919999837875366,0.10000000149011612,2.3025498390197754,0.9332000017166138,0.303010493516922,0.10000000149011612,2.3257033824920654
a02d008c,main.py,2022-05-23 18:14:45,2:07:46,completed,vgg16_cifar10,alds,cifar10,cuda,vgg16,160,160,magnitude,0.988,160,0.10000000149011612,0.9302999973297119,2.3025827407836914,0.34308767318725586,0.9940000176429749,0.10000000149011612,2.302520751953125,0.9309999942779541,0.3094206154346466,0.10000000149011612,2.3179733753204346
acc1e6b6,main.py,2022-05-23 18:12:23,2:06:36,completed,vgg16_cifar10,alds,cifar10,cuda,vgg16,160,160,relative_error,0.895,160,0.9318000078201294,0.9330999851226807,0.3099882900714874,0.30809035897254944,0.8802000284194946,0.9333999752998352,0.30591872334480286,0.9355999827384949,0.3063902258872986,0.5916000008583069,1.557389736175537
5f341272,main.py,2022-05-23 18:12:14,2:05:04,completed,vgg16_cifar10,alds,cifar10,cuda,vgg16,160,160,relative_error,0.935,160,0.9259999990463257,0.9319999814033508,0.3341406583786011,0.3283056616783142,0.925599992275238,0.9279000163078308,0.3092607259750366,0.9329000115394592,0.3191971182823181,0.10000000149011612,3.1262903213500977
febb17fb,main.py,2022-05-23 18:12:13,2:03:47,completed,vgg16_cifar10,alds,cifar10,cuda,vgg16,160,160,relative_error,0.965,160,0.9154999852180481,0.9283000230789185,0.3896898031234741,0.34705302119255066,0.9613000154495239,0.9175000190734863,0.3172513246536255,0.9297000169754028,0.31485334038734436,0.10000000149011612,2.3757965564727783
adf9b16e,main.py,2022-05-23 18:11:45,2:05:29,completed,vgg16_cifar10,alds,cifar10,cuda,vgg16,160,160,relative_error,0.985,160,0.8744000196456909,0.9307000041007996,0.41665205359458923,0.34615445137023926,0.9842000007629395,0.8762999773025513,0.4007508456707001,0.9316999912261963,0.31503427028656006,0.10000000149011612,2.3262104988098145
fd5158e4,main.py,2022-05-23 18:11:34,2:04:57,completed,vgg16_cifar10,alds,cifar10,cuda,vgg16,160,160,relative_error,0.988,160,0.8637999892234802,0.9286999702453613,0.43683674931526184,0.34209510684013367,0.9876999855041504,0.8661999702453613,0.4241527020931244,0.9297999739646912,0.3057432770729065,0.10000000149011612,2.3159801959991455
49d4e3eb,main.py,2022-05-23 18:11:22,2:07:04,completed,vgg16_cifar10,alds,cifar10,cuda,vgg16,160,160,alignment_output,0.895,160,0.9327999949455261,0.9293000102043152,0.3126632571220398,0.33822065591812134,0.8865000009536743,0.9332000017166138,0.30040255188941956,0.9308000206947327,0.3205921947956085,0.5859000086784363,1.4763636589050293
ba93d5d4,main.py,2022-05-23 18:10:40,2:12:26,completed,vgg16_cifar10,alds,cifar10,cuda,vgg16,160,160,alignment_output,0.935,160,0.9262999892234802,0.9330000281333923,0.3403546214103699,0.3329762816429138,0.9290000200271606,0.9286999702453613,0.30176299810409546,0.9333000183105469,0.30888840556144714,0.10000000149011612,3.241732120513916
a2535ead,main.py,2022-05-23 18:05:41,2:13:09,completed,vgg16_cifar10,alds,cifar10,cuda,vgg16,160,160,alignment_output,0.965,160,0.9090999960899353,0.9297000169754028,0.40672409534454346,0.340273380279541,0.9631999731063843,0.9107999801635742,0.3262113034725189,0.9315000176429749,0.3057716488838196,0.10000000149011612,2.654590606689453
8b2ec288,main.py,2022-05-23 18:05:31,2:14:19,completed,vgg16_cifar10,alds,cifar10,cuda,vgg16,160,160,alignment_output,0.985,160,0.8761000037193298,0.9327999949455261,0.4059620201587677,0.32819902896881104,0.9876000285148621,0.8776000142097473,0.39962783455848694,0.9333999752998352,0.30109110474586487,0.10000000149011612,2.3582818508148193
e8cc4033,main.py,2022-05-23 15:48:45,2:16:45,completed,vgg16_cifar10,alds,cifar10,cuda,vgg16,160,160,alignment_output,0.988,160,0.10000000149011612,0.9320999979972839,2.3025872707366943,0.329717218875885,0.9905999898910522,0.10000000149011612,2.3025546073913574,0.9327999949455261,0.2885741889476776,0.10000000149011612,2.430830717086792
eb989781,main.py,2022-05-23 15:48:45,2:22:36,completed,vgg16_cifar10,square,cifar10,cuda,vgg16,160,160,magnitude,0.895,160,0.10000000149011612,0.9320999979972839,2.3025851249694824,0.32870805263519287,0.875,0.10000000149011612,2.3025057315826416,0.932200014591217,0.30076348781585693,0.10000000149011612,2.3217198848724365
a444ae6b,main.py,2022-05-23 15:48:44,2:23:00,completed,vgg16_cifar10,square,cifar10,cuda,vgg16,160,160,magnitude,0.935,160,0.10000000149011612,0.9326000213623047,2.302584409713745,0.3370921015739441,0.9259999990463257,0.10000000149011612,2.302518367767334,0.9327999949455261,0.31275123357772827,0.10000000149011612,2.3359274864196777
dff86cf8,main.py,2022-05-23 15:48:43,2:23:30,completed,vgg16_cifar10,square,cifar10,cuda,vgg16,160,160,magnitude,0.965,160,0.10000000149011612,0.9340999722480774,2.3025851249694824,0.3292507529258728,0.9609000086784363,0.10000000149011612,2.302469253540039,0.9345999956130981,0.3033067286014557,0.10000000149011612,2.3047032356262207
1e3aec15,main.py,2022-05-23 15:48:43,2:26:02,completed,vgg16_cifar10,square,cifar10,cuda,vgg16,160,160,magnitude,0.985,160,0.10000000149011612,0.9355000257492065,2.3025856018066406,0.30921369791030884,0.9842000007629395,0.10000000149011612,2.3025166988372803,0.9355000257492065,0.30921369791030884,0.10000000149011612,2.302727699279785
b831c921,main.py,2022-05-23 15:48:42,2:23:40,completed,vgg16_cifar10,square,cifar10,cuda,vgg16,160,160,magnitude,0.988,160,0.10000000149011612,0.9316999912261963,2.302584171295166,0.33293941617012024,0.9871000051498413,0.10000000149011612,2.302523374557495,0.9326000213623047,0.321718692779541,0.10000000149011612,2.303070545196533
9ae3178b,main.py,2022-05-23 15:48:42,2:26:21,completed,vgg16_cifar10,square,cifar10,cuda,vgg16,160,160,relative_error,0.895,160,0.9358000159263611,0.9340000152587891,0.2887181043624878,0.32828623056411743,0.8341000080108643,0.9359999895095825,0.28709471225738525,0.9343000054359436,0.31236734986305237,0.6776999831199646,1.1753350496292114
4295d635,main.py,2022-05-23 15:48:41,2:21:58,completed,vgg16_cifar10,square,cifar10,cuda,vgg16,160,160,relative_error,0.935,160,0.9284999966621399,0.9325000047683716,0.3123100996017456,0.3355180025100708,0.9009000062942505,0.9307000041007996,0.30148664116859436,0.9341999888420105,0.3130034804344177,0.17589999735355377,2.4428458213806152
3472c909,main.py,2022-05-23 15:48:41,2:16:59,completed,vgg16_cifar10,square,cifar10,cuda,vgg16,160,160,relative_error,0.965,160,0.9185000061988831,0.9296000003814697,0.38231152296066284,0.3582812249660492,0.9492999911308289,0.9200999736785889,0.3297104835510254,0.9314000010490417,0.3328196108341217,0.10000000149011612,2.4203405380249023
